image_name,message_id,channel_name,detected_object,confidence_score,image_category
82.jpg,82,CheMed123,bottle,0.8424995541572571,product_display
82.jpg,82,CheMed123,bottle,0.7403751611709595,product_display
82.jpg,82,CheMed123,apple,0.4784528613090515,product_display
85.jpg,85,CheMed123,none,0.0,other
86.jpg,86,CheMed123,person,0.9013165235519409,lifestyle
86.jpg,86,CheMed123,refrigerator,0.3570445477962494,lifestyle
87.jpg,87,CheMed123,parking meter,0.27856072783470154,other
88.jpg,88,CheMed123,none,0.0,other
9.jpg,9,CheMed123,bottle,0.38718265295028687,product_display
90.jpg,90,CheMed123,book,0.30779942870140076,other
91.jpg,91,CheMed123,none,0.0,other
92.jpg,92,CheMed123,none,0.0,other
93.jpg,93,CheMed123,person,0.9076734185218811,lifestyle
94.jpg,94,CheMed123,cup,0.7408691048622131,lifestyle
94.jpg,94,CheMed123,person,0.475845068693161,lifestyle
94.jpg,94,CheMed123,cup,0.3855976164340973,lifestyle
95.jpg,95,CheMed123,person,0.868440568447113,lifestyle
95.jpg,95,CheMed123,person,0.49181684851646423,lifestyle
96.jpg,96,CheMed123,cup,0.3260035216808319,other
97.jpg,97,CheMed123,none,0.0,other
22747.jpg,22747,lobelia4cosmetics,bottle,0.4841199517250061,product_display
22747.jpg,22747,lobelia4cosmetics,dining table,0.29485949873924255,product_display
22748.jpg,22748,lobelia4cosmetics,bottle,0.5879693627357483,product_display
22748.jpg,22748,lobelia4cosmetics,bottle,0.3194347023963928,product_display
22749.jpg,22749,lobelia4cosmetics,none,0.0,other
22750.jpg,22750,lobelia4cosmetics,bottle,0.8308452367782593,product_display
22751.jpg,22751,lobelia4cosmetics,none,0.0,other
22752.jpg,22752,lobelia4cosmetics,none,0.0,other
22753.jpg,22753,lobelia4cosmetics,cell phone,0.31958022713661194,other
22754.jpg,22754,lobelia4cosmetics,none,0.0,other
22755.jpg,22755,lobelia4cosmetics,refrigerator,0.45795008540153503,other
22756.jpg,22756,lobelia4cosmetics,refrigerator,0.499969482421875,other
22757.jpg,22757,lobelia4cosmetics,refrigerator,0.3571476936340332,other
22758.jpg,22758,lobelia4cosmetics,bottle,0.5191170573234558,product_display
22759.jpg,22759,lobelia4cosmetics,none,0.0,other
22760.jpg,22760,lobelia4cosmetics,none,0.0,other
22761.jpg,22761,lobelia4cosmetics,none,0.0,other
22762.jpg,22762,lobelia4cosmetics,none,0.0,other
22763.jpg,22763,lobelia4cosmetics,none,0.0,other
22764.jpg,22764,lobelia4cosmetics,bottle,0.9044639468193054,product_display
22764.jpg,22764,lobelia4cosmetics,dining table,0.3380439281463623,product_display
22765.jpg,22765,lobelia4cosmetics,none,0.0,other
22766.jpg,22766,lobelia4cosmetics,parking meter,0.2554703652858734,other
22767.jpg,22767,lobelia4cosmetics,bottle,0.5707804560661316,product_display
22768.jpg,22768,lobelia4cosmetics,person,0.6241413354873657,lifestyle
22768.jpg,22768,lobelia4cosmetics,surfboard,0.3663443326950073,lifestyle
22769.jpg,22769,lobelia4cosmetics,person,0.6789198517799377,lifestyle
22769.jpg,22769,lobelia4cosmetics,stop sign,0.27186933159828186,lifestyle
22770.jpg,22770,lobelia4cosmetics,none,0.0,other
22771.jpg,22771,lobelia4cosmetics,none,0.0,other
